"Stkcd","Trddt","AdjClose","LogRet"
600006,2000-03-07,5.39,0.0513909458694894
600151,2000-03-07,14.939993,0.0161946935696307
600741,2000-03-07,58.904507,0.00788252404727796
678,2000-03-08,18.558566,0.00674916008096638
868,2000-03-08,9.007387,0.00228562509299746
600006,2000-03-08,5.24,-0.0282238865879549
600151,2000-03-08,14.979993,0.00267379963551306
600741,2000-03-08,59.493132,0.00994327006307572
678,2000-03-09,18.412927,-0.00787848915509715
868,2000-03-09,8.431573,-0.0660616683608359
600006,2000-03-09,5.19,-0.00958780115515356
600151,2000-03-09,15.149993,0.0112845591098223
600741,2000-03-09,58.820418,-0.0113718377907812
678,2000-03-10,18.100844,-0.0170944052680913
868,2000-03-10,8.297901,-0.0159807588454575
600006,2000-03-10,5.1,-0.0174931574475172
600151,2000-03-10,14.659993,-0.0328778509404435
600741,2000-03-10,57.222722,-0.0275379822570256
678,2000-03-13,19.037094,0.0504308246453609
868,2000-03-13,8.42129,0.0147604319163039
600006,2000-03-13,5.19,0.0174931574475172
600151,2000-03-13,14.769993,0.00747540364090327
600741,2000-03-13,57.601124,0.00659102413038237
678,2000-03-14,18.683399,-0.0187540161013748
868,2000-03-14,8.184795,-0.0284848584761965
600006,2000-03-14,5.09,-0.0194558666153659
600151,2000-03-14,15.349993,0.0385173953975166
600741,2000-03-14,57.180678,-0.00732603728371295
678,2000-03-15,19.099511,0.0220273570677207
868,2000-03-15,8.67835,0.0585532537426241
600006,2000-03-15,5.11,0.00392157365318169
600151,2000-03-15,15.969992,0.0395964432804909
600741,2000-03-15,56.886365,-0.00516036263188102
678,2000-03-16,18.184066,-0.0491170165224966
868,2000-03-16,8.277337,-0.04731012012715
600006,2000-03-16,5,-0.0217614917815128
600151,2000-03-16,14.999993,-0.0626617268520997
600741,2000-03-16,55.036402,-0.0330608606359473
678,2000-03-17,18.516955,0.0181410827453421
868,2000-03-17,8.452137,0.0208980104942977
600006,2000-03-17,5.08,0.0158733491562904
600151,2000-03-17,15.549992,0.0360103897202229
600741,2000-03-17,56.129562,0.0196678047611263
678,2000-03-20,18.579372,0.00336513417630258
868,2000-03-20,8.750327,0.0346717622960981
600006,2000-03-20,5.21,0.0252685941748849
600151,2000-03-20,16.329992,0.0489432929306992
600741,2000-03-20,57.054544,0.0163450969566359
678,2000-03-21,19.827706,0.0650283195020034
868,2000-03-21,8.945693,0.0220811163088239
600006,2000-03-21,5.25,0.00764822083825689
600151,2000-03-21,16.229992,-0.00614252847433461
600741,2000-03-21,56.970455,-0.00147492244650493
678,2000-03-22,19.474011,-0.0179994451196457
868,2000-03-22,9.57292,0.0677660916837364
600006,2000-03-22,5.34,0.016997576368571
600151,2000-03-22,15.999992,-0.0142726663723658
600741,2000-03-22,57.180678,0.00368324399657105
678,2000-03-23,20.1814,0.0356805807264009
868,2000-03-23,9.850545,0.0285885045102305
600006,2000-03-23,5.53,0.0349621625621399
600151,2000-03-23,16.159992,0.00995033580366567
